,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
60,1433,Mount Lebanon Senior Housing,Pre-certified,John Semmelhack,Sota,"Pittsburgh, PA",Timber,Multifamily,61876,New Construction,,[],,,PA,Pittsburgh
61,1435,1675 Westchester Avenue,Pre-certified,Eric VanderMaas,1675 JV Associates LLC,"Bronx, NY",Masonry,Multifamily,187016,New Construction,,[],,,NY,Bronx
62,1436,Harry T. Nance Apartments,Pre-certified,Tyler Davis,Ridgewood Bushwick Senior Citizens Council Inc.,"Brooklyn, NY",Masonry,Mixed-Use,61300,New Construction,,[],,,NY,Brooklyn
63,1439,casaVERDE,Pre-certified,Patrick Ryan,Ryan Inc.,"Somerville, NJ",Timber,Single Family,2491,New Construction,,[],,,NJ,Somerville
64,1441,The Willows at Landisville - Building 3,Pre-certified,John Semmelhack,Ingerman,"Landisville, PA",,Multifamily,,,,[],,,PA,Landisville
65,1442,The Willows at Landisville - Building 4,Pre-certified,John Semmelhack  John Semmelhack,Ingerman,"Landisville, PA",,Multifamily,,,,[],,,PA,Landisville
66,1443,The Willows at Landisville - Building 5,Pre-certified,John Semmelhack,Ingerman,"Landisville, PA",,Multifamily,,New Construction,,[],,,PA,Landisville
67,1445,West Moberly Health Centre,Pre-certified,,,"West Moberly, BC",Timber,Commercial,5400,New Construction,,[],,,BC,West Moberly
68,1453,AMR Retirement Residence of Glassport,Pre-certified,Joseph Giampietro,Franjo Construction,"Glassport, PA",Mixed timber-masonry,Multifamily,57121,Retrofit,,[],,,PA,Glassport
69,1455,Copper Pass Apartments,Pre-certified,Prudence Ferreira,,"Sioux Falls, SD",,Multifamily,32260,New Construction,,[],,,SD,Sioux Falls
70,1466,Ballard Passive,Pre-certified,Taylor Callaway,First Lamp Architects and Construction,"Seattle, WA",Timber,Single Family,2184,New Construction,,[],,,WA,Seattle
71,1486,11 Crown Street - Colony Street Townhomes,Pre-certified,Thomas Moore,,"Meriden , CT",,Multifamily,12288,New Construction,,[],,,CT,Meriden
72,1487,11 Crown Street - Crown Street Townhomes,Pre-certified,Thomas Moore,,"Meriden, CT",Mixed timber-masonry,Multifamily,16486,New Construction,,[],,,CT,Meriden
73,1488,11 Crown Street - Perkins Street Apartment,Pre-certified,Thomas Moore,,"Meriden, CT",,Multifamily,69849,New Construction,,[],,,CT,Meriden
74,1493,Parade Street Commons East - Building B,Pre-certified,Timothy McDonald,,"Erie, PA",Timber,Multifamily,24554,New Construction,,[],,,PA,Erie
75,1494,Parade Street Commons East - Building A,Pre-certified,Timothy McDonald,,"Erie, PA",Timber,Multifamily,7603,New Construction,,[],,,PA,Erie
76,1495,Parade Street Commons East - Building C,Pre-certified,Timothy McDonald,,"Erie, PA",Timber,Multifamily,6120,New Construction,,[],,,PA,Erie
77,1496,Parade Street Commons East - Building D,Pre-certified,Timothy McDonald,,"Erie, PA",Timber,Multifamily,9737,New Construction,,[],,,PA,Erie
78,1497,Parade Street Commons East - Building E,Pre-certified,Timothy McDonald,,"Erie, PA",Timber,Commercial,1035,New Construction,,[],,,PA,Erie
79,1499,Hook & Ladder,Pre-certified,Elizabeth Turner,Frerichs Construction,"Minneapolis, MN",Timber,Multifamily,53167,New Construction,,[],,,MN,Minneapolis
